millis,batt,temp,A2,A3,maxWriteTime,minFifoFree,maxFifoUsed,maxOverruns,gpsOnFlag,unusedStack1,unusedStackIdle,index,t
7976.0,3.19,9.1,1.4,1.9,78.0,68.0,7.0,0.0,0.0,56.0,39.0,500.0,1603205825.8
17977.0,2.99,9.1,1.4,1.9,13.0,74.0,1.0,0.0,1.0,56.0,39.0,1501.0,1603205835.81
27977.0,3.01,9.1,1.4,1.9,14.0,73.0,2.0,0.0,1.0,56.0,39.0,2502.0,1603205845.81
37978.0,3.02,9.1,1.4,1.9,15.0,73.0,2.0,0.0,1.0,56.0,39.0,3511.0,1603205855.81
47976.0,3.02,9.1,1.4,1.9,14.0,74.0,1.0,0.0,1.0,56.0,39.0,4522.0,1603205865.81
57976.0,3.18,9.1,1.4,1.9,14.0,73.0,2.0,0.0,0.0,56.0,39.0,5525.0,1603205875.81
67977.0,3.18,9.1,1.4,1.9,15.0,73.0,2.0,0.0,0.0,56.0,39.0,6526.0,1603205885.81
77977.0,3.19,9.1,1.4,1.9,12.0,74.0,1.0,0.0,0.0,56.0,39.0,7527.0,1603205895.81
87977.0,3.19,9.1,1.4,1.9,14.0,73.0,2.0,0.0,0.0,56.0,39.0,8528.0,1603205905.81
97976.0,3.19,9.4,1.4,1.9,15.0,74.0,1.0,0.0,0.0,56.0,39.0,9529.0,1603205915.81
107976.0,3.19,9.1,1.4,1.9,14.0,73.0,2.0,0.0,0.0,56.0,39.0,10530.0,1603205925.81
117977.0,3.19,9.1,1.4,1.9,15.0,73.0,2.0,0.0,0.0,56.0,39.0,11531.0,1603205935.81
127979.0,3.04,9.1,1.4,1.9,12.0,74.0,1.0,0.0,0.0,56.0,39.0,12532.0,1603205945.81
137977.0,3.19,9.1,1.4,1.9,16.0,73.0,2.0,0.0,0.0,56.0,39.0,13533.0,1603205955.81
147976.0,3.19,9.1,1.4,1.9,15.0,74.0,1.0,0.0,0.0,56.0,39.0,14534.0,1603205965.81
157976.0,3.19,9.1,1.4,1.9,14.0,74.0,1.0,0.0,0.0,56.0,39.0,15535.0,1603205975.81
167976.0,3.19,9.1,1.4,1.9,14.0,73.0,2.0,0.0,0.0,56.0,39.0,16536.0,1603205985.81
177977.0,3.19,9.1,1.4,1.9,15.0,74.0,1.0,0.0,0.0,56.0,39.0,17537.0,1603205995.81
187977.0,3.19,9.1,1.4,1.9,14.0,73.0,2.0,0.0,0.0,56.0,39.0,18538.0,1603206005.81
197978.0,3.19,9.1,1.4,1.9,15.0,74.0,1.0,0.0,0.0,56.0,39.0,19539.0,1603206015.81
207976.0,3.19,9.1,1.4,1.9,14.0,73.0,2.0,0.0,0.0,56.0,39.0,20540.0,1603206025.81
217976.0,3.19,9.1,1.4,1.9,14.0,73.0,2.0,0.0,0.0,56.0,39.0,21541.0,1603206035.81
227977.0,3.19,9.1,1.4,1.9,13.0,74.0,1.0,0.0,0.0,56.0,39.0,22542.0,1603206045.81
237977.0,3.19,9.1,1.4,1.9,12.0,73.0,2.0,0.0,0.0,56.0,39.0,23543.0,1603206055.81
247977.0,3.19,9.1,1.4,1.9,14.0,74.0,1.0,0.0,0.0,56.0,39.0,24544.0,1603206065.81
257976.0,3.19,9.1,1.4,1.9,19.0,73.0,2.0,0.0,0.0,56.0,39.0,25545.0,1603206075.81
267976.0,3.19,9.1,1.4,1.9,14.0,74.0,1.0,0.0,0.0,56.0,39.0,26546.0,1603206085.81
277977.0,3.19,9.1,1.4,1.9,15.0,74.0,1.0,0.0,0.0,56.0,39.0,27547.0,1603206095.81
287977.0,3.19,9.1,1.4,1.9,14.0,73.0,2.0,0.0,0.0,56.0,39.0,28548.0,1603206105.81
297977.0,3.19,9.1,1.4,1.9,14.0,74.0,1.0,0.0,0.0,56.0,39.0,29549.0,1603206115.81
307978.0,3.19,9.1,1.4,1.9,15.0,73.0,2.0,0.0,0.0,56.0,39.0,30550.0,1603206125.81
317976.0,3.19,9.1,1.4,1.9,14.0,74.0,1.0,0.0,0.0,56.0,39.0,31551.0,1603206135.81
327976.0,3.19,9.1,1.4,1.9,16.0,73.0,2.0,0.0,0.0,56.0,39.0,32552.0,1603206145.81
337977.0,3.19,9.1,1.4,1.9,13.0,73.0,2.0,0.0,0.0,56.0,39.0,33553.0,1603206155.81
347977.0,3.19,9.1,1.4,1.9,14.0,74.0,1.0,0.0,0.0,56.0,39.0,34554.0,1603206165.81
357978.0,3.19,9.1,1.4,1.9,15.0,74.0,1.0,0.0,0.0,56.0,39.0,35555.0,1603206175.81
367976.0,3.19,9.1,1.4,1.9,14.0,74.0,1.0,0.0,0.0,56.0,39.0,36556.0,1603206185.81
377976.0,3.19,9.1,1.4,1.9,14.0,73.0,2.0,0.0,0.0,56.0,39.0,37557.0,1603206195.81
387977.0,3.19,9.1,1.4,1.9,13.0,73.0,2.0,0.0,0.0,56.0,39.0,38558.0,1603206205.81
397977.0,3.19,9.1,1.4,1.9,14.0,74.0,1.0,0.0,0.0,56.0,39.0,39559.0,1603206215.81
407977.0,3.19,9.1,1.4,1.9,14.0,73.0,2.0,0.0,0.0,56.0,39.0,40560.0,1603206225.82
417976.0,3.19,9.1,1.4,1.9,15.0,74.0,1.0,0.0,0.0,56.0,39.0,41561.0,1603206235.81
427976.0,3.19,9.1,1.4,1.9,14.0,73.0,2.0,0.0,0.0,56.0,39.0,42562.0,1603206245.81
437977.0,3.19,9.1,1.4,1.9,17.0,73.0,2.0,0.0,0.0,56.0,39.0,43563.0,1603206255.82
447977.0,3.19,9.1,1.4,1.9,12.0,74.0,1.0,0.0,0.0,56.0,39.0,44564.0,1603206265.82
457977.0,3.19,9.1,1.4,1.9,14.0,73.0,2.0,0.0,0.0,56.0,39.0,45565.0,1603206275.82
467978.0,3.19,9.1,1.4,1.9,15.0,74.0,1.0,0.0,0.0,56.0,39.0,46566.0,1603206285.82
477976.0,3.19,9.1,1.4,1.9,14.0,73.0,2.0,0.0,0.0,56.0,39.0,47567.0,1603206295.82
487976.0,3.19,9.1,1.4,1.9,14.0,74.0,1.0,0.0,0.0,56.0,39.0,48568.0,1603206305.82
497977.0,3.19,9.1,1.4,1.9,13.0,73.0,2.0,0.0,0.0,56.0,39.0,49569.0,1603206315.82
507977.0,3.19,9.1,1.4,1.9,14.0,73.0,2.0,0.0,0.0,56.0,39.0,50570.0,1603206325.82
517978.0,3.19,9.1,1.4,1.9,15.0,74.0,1.0,0.0,0.0,56.0,39.0,51571.0,1603206335.82
527976.0,3.19,9.1,1.4,1.9,14.0,74.0,1.0,0.0,0.0,56.0,39.0,52572.0,1603206345.82
537976.0,3.19,9.1,1.4,1.9,14.0,74.0,1.0,0.0,0.0,56.0,39.0,53573.0,1603206355.82
547977.0,3.19,9.1,1.4,1.9,15.0,73.0,2.0,0.0,0.0,56.0,39.0,54574.0,1603206365.82
557977.0,3.19,9.1,1.4,1.9,14.0,73.0,2.0,0.0,0.0,56.0,39.0,55575.0,1603206375.82
567977.0,3.19,9.1,1.4,1.9,14.0,74.0,1.0,0.0,0.0,56.0,39.0,56576.0,1603206385.82
577976.0,3.19,9.1,1.4,1.9,15.0,73.0,2.0,0.0,0.0,56.0,39.0,57577.0,1603206395.82
587976.0,3.19,9.1,1.4,1.9,14.0,74.0,1.0,0.0,0.0,56.0,39.0,58578.0,1603206405.82
597977.0,3.19,9.1,1.4,1.9,17.0,73.0,2.0,0.0,0.0,56.0,39.0,59579.0,1603206415.82
607977.0,3.19,9.1,1.4,1.9,14.0,73.0,2.0,0.0,0.0,56.0,39.0,60580.0,1603206425.82
617977.0,3.19,9.1,1.4,1.9,14.0,74.0,1.0,0.0,0.0,56.0,39.0,61581.0,1603206435.82
627976.0,3.19,9.1,1.4,1.9,15.0,73.0,2.0,0.0,0.0,56.0,39.0,62582.0,1603206445.82
637976.0,3.19,9.1,1.4,1.9,14.0,74.0,1.0,0.0,0.0,56.0,39.0,63583.0,1603206455.82
647976.0,3.19,9.1,1.4,1.9,14.0,73.0,2.0,0.0,0.0,56.0,39.0,64584.0,1603206465.82
657977.0,3.19,9.1,1.4,1.9,13.0,73.0,2.0,0.0,0.0,56.0,39.0,65585.0,1603206475.82
667977.0,3.19,9.1,1.4,1.9,14.0,74.0,1.0,0.0,0.0,56.0,39.0,66586.0,1603206485.82
677978.0,3.19,9.1,1.4,1.9,15.0,73.0,2.0,0.0,0.0,56.0,39.0,67587.0,1603206495.82
687976.0,3.19,9.1,1.4,1.9,14.0,74.0,1.0,0.0,0.0,56.0,39.0,68588.0,1603206505.82
697976.0,3.19,9.1,1.4,1.9,14.0,73.0,2.0,0.0,0.0,56.0,39.0,69589.0,1603206515.82
707977.0,3.19,9.1,1.4,1.9,15.0,74.0,1.0,0.0,0.0,56.0,39.0,70590.0,1603206525.82
