millis,batt,temp,A2,A3,maxWriteTime,minFifoFree,maxFifoUsed,maxOverruns,gpsOnFlag,unusedStack1,unusedStackIdle,index,t
3733.0,17.19,9.1,0.673,0.597,140.0,62.0,13.0,0.0,0.0,46.0,47.0,50.0,1603205857.19
4732.0,17.19,9.1,0.67,0.594,14.0,74.0,1.0,0.0,0.0,46.0,47.0,151.0,1603205858.19
5732.0,17.19,9.1,0.673,0.597,13.0,74.0,1.0,0.0,0.0,46.0,47.0,252.0,1603205859.19
6733.0,17.19,9.1,0.676,0.597,14.0,74.0,1.0,0.0,0.0,46.0,47.0,353.0,1603205860.19
7733.0,17.19,9.1,0.673,0.597,15.0,74.0,1.0,0.0,0.0,46.0,47.0,454.0,1603205861.19
8732.0,17.19,9.1,0.67,0.597,12.0,74.0,1.0,0.0,0.0,46.0,47.0,555.0,1603205862.19
9734.0,17.19,9.1,0.673,0.594,14.0,74.0,1.0,0.0,0.0,46.0,47.0,656.0,1603205863.19
10733.0,17.19,9.1,0.676,0.597,14.0,74.0,1.0,0.0,0.0,46.0,47.0,757.0,1603205864.19
11732.0,17.19,9.1,0.676,0.6,14.0,73.0,2.0,0.0,0.0,46.0,47.0,858.0,1603205865.19
12732.0,17.19,9.1,0.673,0.597,15.0,74.0,1.0,0.0,0.0,46.0,47.0,959.0,1603205866.19
13733.0,17.19,9.1,0.676,0.6,14.0,74.0,1.0,0.0,1.0,46.0,47.0,1060.0,1603205867.19
14733.0,17.19,9.1,0.676,0.594,15.0,74.0,1.0,0.0,1.0,46.0,47.0,1161.0,1603205868.19
15732.0,17.19,9.1,0.676,0.594,12.0,74.0,1.0,0.0,1.0,46.0,47.0,1262.0,1603205869.19
16734.0,17.19,9.1,0.676,0.6,19.0,74.0,1.0,0.0,1.0,46.0,47.0,1363.0,1603205870.19
17733.0,17.19,9.1,0.673,0.597,14.0,74.0,1.0,0.0,1.0,46.0,47.0,1464.0,1603205871.19
18733.0,17.19,9.1,0.673,0.6,14.0,74.0,1.0,0.0,1.0,46.0,47.0,1565.0,1603205872.19
19732.0,17.19,9.1,0.676,0.597,14.0,74.0,1.0,0.0,1.0,46.0,47.0,1666.0,1603205873.19
20733.0,17.19,9.1,0.679,0.603,14.0,74.0,1.0,0.0,1.0,46.0,47.0,1767.0,1603205874.19
21733.0,17.19,9.1,0.676,0.6,15.0,74.0,1.0,0.0,1.0,46.0,47.0,1868.0,1603205875.19
22732.0,17.19,9.1,0.676,0.597,14.0,74.0,1.0,0.0,1.0,46.0,47.0,1969.0,1603205876.19
23734.0,17.19,9.1,0.676,0.597,13.0,74.0,1.0,0.0,1.0,46.0,47.0,2070.0,1603205877.19
24733.0,17.19,9.1,0.676,0.594,14.0,74.0,1.0,0.0,1.0,46.0,47.0,2171.0,1603205878.19
25733.0,17.19,9.1,0.676,0.597,14.0,74.0,1.0,0.0,1.0,46.0,47.0,2273.0,1603205879.19
26732.0,17.19,9.1,0.676,0.597,12.0,73.0,2.0,0.0,1.0,46.0,47.0,2375.0,1603205880.19
27734.0,17.19,9.1,0.676,0.6,16.0,74.0,1.0,0.0,1.0,46.0,47.0,2477.0,1603205881.19
28733.0,17.19,9.1,0.676,0.597,15.0,74.0,1.0,0.0,1.0,46.0,47.0,2579.0,1603205882.19
29732.0,17.19,9.1,0.676,0.597,14.0,74.0,1.0,0.0,1.0,46.0,47.0,2681.0,1603205883.19
30732.0,17.19,9.1,0.676,0.6,15.0,74.0,1.0,0.0,1.0,46.0,47.0,2783.0,1603205884.19
31733.0,17.19,9.1,0.676,0.597,14.0,74.0,1.0,0.0,1.0,46.0,47.0,2885.0,1603205885.19
