f,amp
0.005,0.302537613072938
0.00523685448979725,0.302537613072938
0.00548492898946192,0.302537613072938
0.00574475500093655,0.302537613072938
0.00601688920388795,0.302537613072938
0.00630191464839864,0.302537613072938
0.00660044200415709,0.302537613072938
0.00691311086882328,0.302537613072938
0.00724059113837267,0.302537613072938
0.00758358444235462,0.174966162809092
0.00794282564714027,0.174966162809092
0.00831908443038064,0.174966162809092
0.00871316693004825,0.174966162809092
0.00912591747159522,0.174966162809092
0.00955822037692851,0.174966162809092
0.0100110018590779,0.12246151595406
0.0104852320066162,0.12246151595406
0.0109819268620827,0.12246151595406
0.0115021505988646,0.12246151595406
0.0120470178011976,0.12246151595406
0.0126176958521738,0.0919747638566436
0.0132154074348705,0.0919747638566436
0.0138414331519603,0.0919747638566436
0.0144971142694144,0.0919747638566436
0.0151838555901773,0.0670636775453761
0.0159031284639706,0.0670636775453761
0.0166564739396734,0.0670636775453761
0.0174455060670339,0.0670636775453761
0.0182719153547863,0.0547695045871278
0.0191374723925816,0.0547695045871278
0.0200440316444923,0.0474009568750921
0.0209935354222195,0.0474009568750921
0.0219880180465136,0.0474009568750921
0.0230296102057255,0.0364662873115319
0.0241205435208269,0.0364662873115319
0.0252631553266784,0.0322707019052017
0.0264598936797922,0.0322707019052017
0.0277133226033155,0.0309787402387772
0.0290261275804745,0.0309787402387772
0.0304011213082471,0.0295311965587175
0.0318412497235929,0.0295311965587175
0.0333495983151506,0.0268536799983537
0.0349293987339262,0.0268536799983537
0.036584035717136,0.0227619261561885
0.0383170543400373,0.0211808159413851
0.0401321676112859,0.0189149046335716
0.0420332644280916,0.0189149046335716
0.0440244179082173,0.015486132507244
0.0461098941166716,0.014893380578932
0.0482941612057935,0.0155195927867325
0.0505818989883104,0.0149494526839175
0.0529780089638808,0.0136304769197272
0.0554876248206036,0.012314300882138
0.0581161234339926,0.0104896959782371
0.0608691363869831,0.00990637505899271
0.0637525620356507,0.00940030379334174
0.0667725781464949,0.00875694947502714
0.0699356551323619,0.00853185206954902
0.0732485699153643,0.00841055788735892
0.0767184204465006,0.007708030836635
0.0803526409130819,0.00705911614178748
0.0841590176665478,0.00679855875592552
0.0881457059047974,0.00577599389620592
0.0923212471447772,0.00543700444123671
0.0966945875227615,0.00569534832343402
0.101275096961533,0.00535544453891814
0.106072589245531,0.00470433387211465
0.111097343046976,0.00485216260430985
0.11636012394802,0.00458219552242685
0.121872207506111,0.00445736082855239
0.127645403411976,0.00398969706908403
0.133692080791997,0.00377391938861399
0.140025194709182,0.00365754562335943
0.146658313919502,0.00360148827516629
0.153605649943088,0.00337527075739907
0.160882087512537,0.00337614618340905
0.168503216463596,0.00318780267774238
0.176485365136532,0.00309795756012893
0.184845635359751,0.00300436143973369
0.193601939090628,0.00308682604763861
0.202773036792041,0.00280184964620669
0.212378577626845,0.00274670493736063
0.222439141556379,0.00268005284254841
0.232976283433234,0.00252246206599225
0.244012579182721,0.00253514540803724
0.255571674172008,0.00253261890718273
0.267678333870536,0.0024028168038162
0.280358496910273,0.0023734775652567
0.293639330659474,0.0022926902873819
0.307549289429025,0.0022143663634131
0.322118175436068,0.0021559034365078
0.337377202655535,0.00213773524614796
0.353359063696375,0.00214180500541788
0.370097999845782,0.00208108319250513
0.387629874431473,0.00198607244039938
0.405992249659201,0.00187340342805379
0.425224467090134,0.00192827112376097
0.445367731930522,0.0017867339956135
0.466465201314234,0.00176732579845876
0.488562076767325,0.00184377250027698
0.511705701052726,0.00176469433925688
0.535945659602564,0.0017113561990617
0.561333886755406,0.00161767747656915
0.587924777026078,0.00162940385995464
0.615775301646413,0.00159868503449247
0.644945130626654,0.00154232372615041
0.675496760599013,0.00149361243474887
0.707495648717288,0.00142121975721034
0.741010352899429,0.0014730309712073
0.776112678713523,0.0014200841401026
0.812877833221897,0.00135879994285779
0.851384586112949,0.00135888036335427
0.891715438465954,0.00132744224232489
0.933956799510391,0.0013549271978499
0.978199171758531,0.00129593745541941
1.02453734490792,0.00126134930911536
1.0730705989292,0.0012875003433312
1.12390291677436,0.00122473426123045
1.17714320716121,0.00117956135461665
